"source","population","temperature","country","weeks_survived","survived","exp_length","sample_size","experiment_index","population_index"
,,24,"Corsica",,1,2,,15,3
,,24,"Corsica",2,0,15,,15,3
,,24,"Corsica",,1,13,,15,3
,,24,"Corsica",,1,13,,15,3
,,24,"Corsica",,1,13,,15,3
,,24,"Corsica",,1,13,,15,3
,,24,"Corsica",9,0,15,,15,3
,,24,"Corsica",,1,13,,15,3
,,24,"Corsica",,1,13,,15,3
,,24,"Corsica",,1,13,,15,3
,,24,"Corsica",2,0,15,,15,3
,,24,"Corsica",,1,13,,15,3
,,24,"Corsica",,1,7,,15,3
,,24,"Corsica",8,0,15,,15,3
,,28,"Senegal",0,0,15,,16,1
,,28,"Senegal",2,0,15,,16,1
,,28,"Senegal",,1,2,,16,1
,,28,"Senegal",,1,1,,16,1
,,28,"Senegal",1,0,15,,16,1
,,28,"Senegal",0,0,15,,16,1
,,28,"Senegal",,1,2,,16,1
,,28,"Senegal",0,0,15,,16,1
,,28,"Senegal",5,0,15,,16,1
,,28,"Senegal",,1,3,,16,1
,,28,"Senegal",0,0,15,,16,1
,,28,"Senegal",,1,4,,16,1
,,28,"Senegal",3,0,15,,16,1
,,28,"Senegal",1,0,15,,16,1
,,28,"Senegal",,1,3,,16,1
,,28,"Senegal",0,0,15,,16,1
,,28,"Senegal",0,0,15,,16,1
,,28,"Senegal",,1,0,,16,1
,,28,"Senegal",7,0,15,,16,1
,,28,"Senegal",,1,7,,16,1
,,28,"Senegal",7,0,15,,16,1
,,28,"Senegal",2,0,15,,16,1
,,28,"Senegal",6,0,15,,16,1
,,28,"Senegal",,1,6,,16,1
,,28,"Senegal",1,0,15,,16,1
,,28,"Senegal",,1,8,,16,1
,,28,"Senegal",9,0,15,,16,1
,,28,"Senegal",,1,10,,16,1
,,28,"Senegal",8,0,15,,16,1
,,28,"Senegal",10,0,15,,16,1
,,28,"Senegal",0,0,15,,16,1
,,28,"Senegal",,1,1,,16,1
,,28,"Senegal",1,0,15,,16,1
,,28,"Senegal",9,0,15,,16,1
,,28,"Senegal",,1,9,,16,1
,,28,"Senegal",2,0,15,,16,1
,,28,"Senegal",10,0,15,,16,1
,,28,"Senegal",,1,10,,16,1
,,28,"Senegal",1,0,15,,16,1
